supplier_id,product_id,supply_price,min_order_qty,is_primary
5,1,91.15,5,1
1,2,67.49,20,1
2,3,55.36,10,1
4,4,767.32,20,1
2,5,108.19,5,1
6,6,396.48,20,1
4,7,53.94,5,1
4,8,46.74,20,1
1,9,54.74,10,1
1,10,45.82,5,1
1,11,249.22,5,1
3,12,156.93,5,1
5,13,244.09,5,1
1,14,114.11,3,1
4,15,141.65,3,1
5,16,47.17,20,1
4,17,55.97,3,1
2,18,239.40,10,1
4,19,34.57,20,1
4,20,45.89,10,1
1,21,84.71,20,1
5,22,93.12,3,1
4,23,41.07,20,1
3,24,67.18,10,1
3,25,51.20,5,1
2,26,64.32,10,1
2,27,42.44,3,1
2,28,716.06,20,1
2,29,50.28,20,1
1,30,70.63,10,1
5,31,92.23,5,1
5,32,61.93,10,1
1,33,61.25,3,1
2,34,24.46,5,1
6,35,154.64,5,1
4,36,43.55,3,1
2,37,101.47,20,1
5,38,43.28,10,1
1,39,43.87,5,1
3,40,140.23,10,1
5,41,68.73,5,1
2,42,40.08,10,1
2,43,58.74,20,1
5,44,85.68,3,1
4,45,629.44,20,1
5,46,48.93,3,1
1,47,41.60,10,1
2,48,49.02,20,1
5,49,104.65,20,1
1,50,51.31,20,1
1,51,49.99,3,1
1,52,42.07,10,1
3,53,431.70,5,1
3,54,79.35,10,1
3,55,103.20,20,1
2,56,49.40,5,1
1,57,68.34,20,1
2,58,100.39,3,1
2,59,515.92,3,1
5,60,66.57,20,1
5,61,44.40,3,1
2,62,38.80,10,1
4,63,47.12,20,1
1,64,224.22,20,1
5,65,46.21,10,1
4,66,167.80,5,1
3,67,70.82,20,1
5,68,69.99,20,1
3,69,41.06,5,1
1,70,56.49,10,1
5,71,78.52,10,1
3,72,639.12,5,1
4,73,60.76,20,1
4,74,67.98,10,1
3,75,281.82,20,1
5,76,870.58,10,1
3,77,92.49,20,1
2,78,259.50,5,1
4,79,61.05,20,1
3,80,64.04,10,1
3,81,389.51,3,1
4,82,65.56,10,1
1,83,115.81,20,1
3,84,63.02,5,1
1,85,74.96,20,1
5,86,69.69,20,1
5,87,56.96,5,1
