source_site,source_category_id,parent_source_category_id,category_name,level,source_category_path,source_url,top_category_name,is_book,is_leaf
新华书店网,33,,文学艺术,1,文学艺术,https://search.xhsd.com/search?frontCategoryId=33,文学艺术,1,0
新华书店网,41,33,小说,2,文学艺术>小说,https://search.xhsd.com/search?frontCategoryId=41,文学艺术,1,0
新华书店网,86,41,中国小说,3,文学艺术>小说>中国小说,https://search.xhsd.com/search?frontCategoryId=86,文学艺术,1,1
新华书店网,87,41,外国小说,3,文学艺术>小说>外国小说,https://search.xhsd.com/search?frontCategoryId=87,文学艺术,1,1
新华书店网,42,33,文学,2,文学艺术>文学,https://search.xhsd.com/search?frontCategoryId=42,文学艺术,1,0
新华书店网,90,42,外国文学,3,文学艺术>文学>外国文学,https://search.xhsd.com/search?frontCategoryId=90,文学艺术,1,1
新华书店网,91,42,中国文学,3,文学艺术>文学>中国文学,https://search.xhsd.com/search?frontCategoryId=91,文学艺术,1,1
新华书店网,202,42,文学理论,3,文学艺术>文学>文学理论,https://search.xhsd.com/search?frontCategoryId=202,文学艺术,1,1
新华书店网,43,33,艺术,2,文学艺术>艺术,https://search.xhsd.com/search?frontCategoryId=43,文学艺术,1,0
新华书店网,94,43,摄影,3,文学艺术>艺术>摄影,https://search.xhsd.com/search?frontCategoryId=94,文学艺术,1,1
新华书店网,95,43,鉴赏收藏,3,文学艺术>艺术>鉴赏收藏,https://search.xhsd.com/search?frontCategoryId=95,文学艺术,1,1
新华书店网,96,43,艺术概论,3,文学艺术>艺术>艺术概论,https://search.xhsd.com/search?frontCategoryId=96,文学艺术,1,1
新华书店网,204,43,音乐舞蹈,3,文学艺术>艺术>音乐舞蹈,https://search.xhsd.com/search?frontCategoryId=204,文学艺术,1,1
新华书店网,205,43,书法篆刻,3,文学艺术>艺术>书法篆刻,https://search.xhsd.com/search?frontCategoryId=205,文学艺术,1,1
新华书店网,206,43,戏剧影视,3,文学艺术>艺术>戏剧影视,https://search.xhsd.com/search?frontCategoryId=206,文学艺术,1,1
新华书店网,207,43,绘画雕塑,3,文学艺术>艺术>绘画雕塑,https://search.xhsd.com/search?frontCategoryId=207,文学艺术,1,1
新华书店网,44,33,传记,2,文学艺术>传记,https://search.xhsd.com/search?frontCategoryId=44,文学艺术,1,0
新华书店网,183,44,传记,3,文学艺术>传记>传记,https://search.xhsd.com/search?frontCategoryId=183,文学艺术,1,1
新华书店网,34,,人文社科,1,人文社科,https://search.xhsd.com/search?frontCategoryId=34,人文社科,1,0
新华书店网,45,34,历史,2,人文社科>历史,https://search.xhsd.com/search?frontCategoryId=45,人文社科,1,0
新华书店网,188,45,世界史,3,人文社科>历史>世界史,https://search.xhsd.com/search?frontCategoryId=188,人文社科,1,1
新华书店网,189,45,中国史,3,人文社科>历史>中国史,https://search.xhsd.com/search?frontCategoryId=189,人文社科,1,1
新华书店网,190,45,考古文物,3,人文社科>历史>考古文物,https://search.xhsd.com/search?frontCategoryId=190,人文社科,1,1
新华书店网,191,45,史学理论,3,人文社科>历史>史学理论,https://search.xhsd.com/search?frontCategoryId=191,人文社科,1,1
